time,x ref,y ref,theta ref,v ref,omega ref
1.0302,2.86187,0.90119,0.326919,3.93317,0.00913773,
1.03525,2.8807,0.907578,0.326965,3.93848,0.00900864,
1.0403,2.89951,0.913958,0.32701,3.93325,0.00885761,
1.04535,2.91833,0.920341,0.327054,3.93431,0.00872311,
1.0504,2.93712,0.926716,0.327097,3.92901,0.00857681,
1.05545,2.95593,0.9331,0.32714,3.93438,0.00845594,
1.0605,2.97472,0.939477,0.327182,3.92909,0.00831421,
1.06555,2.99354,0.945863,0.327223,3.93446,0.00819693,
1.0706,3.01233,0.952242,0.327264,3.92917,0.00805942,
1.07565,3.03109,0.958612,0.327304,3.9238,0.00792392,
1.0807,3.04988,0.964992,0.327343,3.92924,0.00781223,
1.08575,3.06864,0.971364,0.327382,3.92388,0.00768083,
1.0908,3.08743,0.977746,0.32742,3.92932,0.00757227,
1.09585,3.10619,0.984119,0.327458,3.92395,0.0074446,
1.1009,3.12496,0.990495,0.327495,3.92504,0.00733093,
1.10595,3.1437,0.996863,0.327531,3.91962,0.00720681,
1.111,3.16247,1.00324,0.327567,3.92512,0.0071045,
1.11605,3.18121,1.00961,0.327602,3.9197,0.00698388,
1.1211,3.19997,1.01599,0.327637,3.923,0.00688036,
1.12615,3.2187,1.02235,0.327671,3.91754,0.00676301,
1.1312,3.23746,1.02873,0.327705,3.92307,0.00666607,
1.13625,3.25619,1.0351,0.327738,3.91762,0.00655184,
1.1413,3.27489,1.04146,0.327771,3.91209,0.00643913,
1.14635,3.29363,1.04783,0.327803,3.9177,0.00634619,
1.1514,3.31233,1.05419,0.327834,3.91217,0.00623649,
1.15645,3.33106,1.06056,0.327865,3.91778,0.0061458,
1.1615,3.34976,1.06692,0.327896,3.91225,0.00603883,
1.16655,3.36846,1.07328,0.327926,3.91113,0.00594002,
1.1716,3.38717,1.07965,0.327955,3.91225,0.00584585,
1.17665,3.40584,1.086,0.327984,3.90664,0.00574284,
1.1817,3.42455,1.09237,0.328013,3.91233,0.00565761,
1.18675,3.44322,1.09872,0.328041,3.90672,0.00555716,
1.1918,3.46192,1.10509,0.328068,3.91014,0.00547063,
1.19685,3.48058,1.11144,0.328095,3.9045,0.00537249,
1.2019,3.49928,1.1178,0.328122,3.91022,0.00529105,
1.20695,3.51794,1.12416,0.328148,3.90458,0.00519523,
1.212,3.53658,1.13051,0.328174,3.89886,0.00510049,
1.21705,3.55525,1.13686,0.3282,3.90466,0.00502186,
1.2221,3.57389,1.14321,0.328224,3.89894,0.00492936,
1.22715,3.59255,1.14957,0.328249,3.90474,0.00485229,
1.2322,3.61119,1.15591,0.328273,3.89903,0.00476176,
1.23725,3.62981,1.16226,0.328297,3.89555,0.004675,
1.2423,3.64846,1.16861,0.32832,3.90139,0.00460031,
1.24735,3.66708,1.17495,0.328343,3.89563,0.00451271,
1.2524,3.6857,1.1813,0.328365,3.89446,0.00443136,
1.25745,3.70432,1.18764,0.328387,3.89563,0.00435348,
1.2625,3.72292,1.19398,0.328409,3.88979,0.00426861,
1.26755,3.74154,1.20032,0.32843,3.89572,0.00419746,
1.2726,3.76013,1.20666,0.328451,3.88987,0.00411433,
1.27765,3.77874,1.213,0.328471,3.89343,0.00404187,
1.2827,3.79732,1.21934,0.328491,3.88755,0.00396037,
1.28775,3.81592,1.22568,0.328511,3.89113,0.00388924,
1.2928,3.83449,1.23201,0.32853,3.88522,0.00380931,
1.29785,3.85309,1.23835,0.328549,3.89121,0.00374171,
1.3029,3.87167,1.24468,0.328567,3.8853,0.00366329,
1.30795,3.89021,1.251,0.328585,3.87931,0.00358561,
